Paraná | Todos os Municípios;;;;;;;;;;;;;
;;;;;;;;;;;;;
Município [-];Código [-];Gentílico [-];Prefeito [2025];Área Territorial - km [2024];População no último censo - pessoas [2022];Densidade demográfica - hab/km [2022];População estimada - pessoas [2024];Escolarização 6 a 14 anos [2010];IDHM Índice de desenvolvimento humano municipal [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2023];Total de receitas brutas realizadas - [2023];Total de despesas brutas empenhadas - [2023];PIB per capita - [2021]
Ivatuba;4111605;ivatubense;VARLEI VERCEZI;96,427;2708;28,02;2705;99,2;0,766;33,33;39641936;29109168,11;43529,53
Jaboti;4111704;jabotiense;REGIS WILLIAM SIQUEIRA RODRIGUES;139,277;5427;38,97;5576;97,6;0,718;-;45599248,68;39212191,2;30019,41
Jacarezinho;4111803;jacarezinhense;MARCELO JOSE BERNARDELI PALHARES;602,528;40375;67,01;41400;98,1;0,743;17,82;201000883,6;187914450,8;40697,5
Jaguapitã;4111902;jaguapitãense;EDISON RODRIGUES DE ALMEIDA;475,004;15122;31,84;15719;98,9;0,715;4,93;110034292,5;94804456,03;75709,97
Jaguariaíva;4112009;jaguariaivense;JOSÉ SLOBODA;1447,811;35141;24,18;36231;98;0,743;8,37;204987309;194147865,7;50833,4
Jandaia do Sul;4112108;jandaiense-do-sul;BENEDITO JOSE PUPIO;187,6;21408;114,12;21851;99,2;0,747;33,06;108626716,9;102598435,9;37131,72
Janiópolis;4112207;janiopolitano;EIDES GUEDES;336,8;5870;17,49;5835;99;0,696;16,13;52317271,59;47780576,55;48899,02
Japira;4112306;japirense;HARIEL VIEIRA FOGAÇA;187,802;4972;26,47;5060;98,3;0,696;-;38903463,71;30902265,62;33157,3
Japurá;4112405;japuraense;ADRIANA CRISTINA POLIZER;165,185;9144;55,36;9354;98,4;0,712;18,35;69982817,53;60905741,93;33552,33
Jardim Alegre;4112504;jardim-alegrense;MOISES LNORTOVZ DOS SANTOS;413,386;12004;29,04;12130;98,1;0,689;16,67;76417632,98;61779527,76;33805,27
Jardim Olinda;4112603;jardinolindense;WEVERTON JOSÉ DOS SANTOS LIMA;128,515;1343;10,45;1353;97,5;0,682;111,11;36469363,48;26454979,97;43584,29
Jataizinho;4112702;jatainhense;WILSON FERNANDES;159,178;11813;74,21;11971;97,9;0,687;6,33;62525248,19;67150854,18;22283,34
Jesuítas;4112751;jesuitense;EDICARLOS GRIZOTTO DE OLIVEIRA;247,496;10506;42,45;10860;97,6;0,705;-;67877200,13;53803783,64;53568,47
Joaquim Távora;4112801;tavorense;GELSON MANSUR NASSAR;289,173;11945;41,31;12280;97,4;0,7;17,65;78778832,57;73136745,81;56092,66
Jundiaí do Sul;4112900;jundiaiense-do-sul;PAULO ROBERTO PEDRO;320,816;3333;10,39;3366;99;0,688;-;34965258,95;39597325,96;39430,86
Juranda;4112959;jurandense;JOELMA DAMASCENO DEMENECK;354,364;7771;21,93;7898;98,2;0,708;22,22;59324744,33;46381091,89;60870,69
Jussara;4113007;jussarense;MOACIR LUIZ PEREIRA VALENTINI;210,869;6690;31,73;6795;97;0,718;-;71283225,84;59766841,56;57314,41
Kaloré;4113106;kaloreense;WASHINGTON LUIZ DA SILVA;193,299;4582;23,7;4657;95,9;0,721;-;38075423,72;35005501,14;41457,2
Lapa;4113205;lapeano;DIEGO TIMBIRUSSU RIBAS;2093,859;45003;21,49;45857;98,8;0,706;13,08;295153709,6;249591199,4;58401,14
Laranjal;4113254;laranjaense;MAYCON LOPES SIMIONI;559,439;5600;10,01;5575;97,2;0,585;13,33;50310139,08;47943576,05;19763,62
Laranjeiras do Sul;4113304;laranjeirense-do-sul;JAISON RODRIGO MENDES;674,584;32227;47,84;33103;96,3;0,706;14,52;181321800;174184250;31951,5
Leópolis;4113403;leopolense;LEOMAR MONTEIRO;344,918;3752;10,88;3751;98,8;0,707;31,25;42229330,68;36802464,03;58364,13
Lidianópolis;4113429;lidianopolitano;APARECIDO BUZATO;151,456;3938;26;3989;99,4;0,68;-;36806063,33;30573783,67;39839,41
Lindoeste;4113452;lindo-estense;SILVIO DE SOUZA;347,093;5175;14,91;5226;98,9;0,666;-;39215695,45;36504713,21;44761,21
Loanda;4113502;loandense;JOSE MARIA PEREIRA FERNANDES;722,497;23225;32,15;23813;97,9;0,725;20,76;145524383,5;133427692,5;29837,55
Lobato;4113601;lobatense;FABIO CHICAROLI;240,904;4601;19,1;4693;98,8;0,744;71,43;46171242,55;42624582,85;44449,25
Londrina;4113700;londrinense;JOSÉ TIAGO CAMARGO DO AMARAL;1652,569;555965;336,42;577318;97,3;0,778;11,81;3210822531;3512362840;40636,89
Luiziana;4113734;luizianense;EDSON LISS;916,839;6690;7,3;6696;98,1;0,668;-;77019022,29;58026744,63;75776,65
Lunardelli;4113759;lunardelliense;LUIZ WANDERLEI MARSON SARDI;199,213;4872;24,46;4902;98,5;0,69;-;36397758,99;33620197,89;30292,4
Lupionópolis;4113809;lupionopolense;JOSÉ CARLOS TIBÉRIO;121,066;4813;39,76;4911;98,5;0,71;25,64;38140857,21;35401772,81;26466,49
Mallet;4113908;malletense;PEDRO KOWALCZYK;760,224;13428;17,66;13655;98,5;0,708;-;85159562,77;77905012,69;55371,69
Mamborê;4114005;mamborense;SEBASTIÃO ANTONIO MARTINEZ;788,061;13452;17,07;13572;98,8;0,719;6,49;102387617,2;85379408,14;61489,61
Mandaguaçu;4114104;mandaguaçuense;JOSE ROBERTO MENDES;294,019;31457;106,99;33752;96,8;0,718;13,7;139344006,7;125070695,7;29426,09
Mandaguari;4114203;mandaguariense;IVONÉIA DE ANDRADE APARECIDO FURTADO;335,814;36716;109,33;38050;98,7;0,751;2,21;196759117,7;190460065,1;53014,37
Mandirituba;4114302;mandiritubense;FELIPE CLAUDINO MACHADO;379,179;27439;72,36;28761;94,7;0,655;12,2;147861739,3;132759593,4;23966,47
Manfrinópolis;4114351;manfrinopolitano;AMARILDO ALVES CARNEIRO;215,779;2770;12,84;2761;98,3;0,645;-;38058674,85;29209924,72;33366,74
Mangueirinha;4114401;mangueirinhense;LEANDRO DORINI;1055,458;16603;15,73;16764;97,6;0,688;10,49;161490952,1;139845034;107007,02
Manoel Ribas;4114500;manoel-ribense;JOSE CARLOS DA SILVA CORONA;571,135;14240;24,93;14576;95,6;0,716;14,02;78890357,78;68515371,29;39322,07
Marechal Cândido Rondon;4114609;rondonense;ADRIANO BACKES;745,748;55836;74,87;58140;98,5;0,774;9,43;394042306,8;353558400,7;54115,26
Maria Helena;4114708;maria-helenense;MARLON RANCER MARQUES;486,224;5865;12,06;5935;97,8;0,703;-;47581666,51;46229893,72;24040,1
Marialva;4114807;marialvense;FLAVIA CHERONI DA SILVA BRITA;475,493;41851;88;44098;99,2;0,735;12,22;260163408,4;236185824,1;73526,3
Marilândia do Sul;4114906;marilandense;WALMIR PERES;384,424;8677;22,57;8774;98,7;0,691;-;58134735,56;53334832,34;53048,12
Marilena;4115002;marilenense;CELIO LELIS DA MATA;232,363;7253;31,21;7409;98,5;0,681;10,42;50752372,01;44802210,35;24602,47
Mariluz;4115101;mariluzense;PAULO ARMANDO DA SILVA ALVES;433,17;9847;22,73;9934;99,1;0,639;8,4;64787637,64;62639026,31;27537,3
Maringá;4115200;maringaense;SILVIO MAGALHAES BARROS II;487,026;409657;841,16;425983;98,4;0,808;10,82;2843955756;2511012842;51908,79
Mariópolis;4115309;mariopolitano;MARIO EDUARDO LOPES PAULEK;230,365;6371;27,66;6475;97,5;0,698;-;75970046,17;66106850,01;66104,97
Maripá;4115358;maripaense;RODRIGO ANDRE SCHANOSKI;283,793;6555;23,1;6767;99,6;0,758;-;68467791,36;56795229,42;85964,22
Marmeleiro;4115408;marmeleirense;JANDER LUIZ LOSS;387,612;15901;41,02;16386;98,1;0,722;28,3;90012744,58;74907294,37;44085,52
Marquinho;4115457;marquinhense;ELIO BOLZON JUNIOR;518,648;4504;8,94;4521;99,4;0,614;34,48;49280360,36;40777376,46;26024,98
Marumbi;4115507;marumbiense;ELAINE MARIA FERREIRA COSTA;208,47;4699;22,54;4778;97,1;0,721;-;39174829,92;32662062,98;22126,59
Matelândia;4115606;matelandiense;GABRIEL DA SILVA CADINI;639,208;18450;28,84;19022;98,8;0,725;4,07;142603393,3;112401558,7;60024,71
Matinhos;4115705;matinhense;EDUARDO ANTONIO DALMORA;117,479;39259;332,99;41416;98,7;0,743;24,67;286569568,1;264277241,7;24992,19
Mato Rico;4115739;mato-riquense;EDELIR DE JESUS RIBEIRO DA SILVA;394,533;3267;8,28;3237;97,1;0,632;35,71;46102665,39;39679377,23;39211,07
Mauá da Serra;4115754;mauaense da serra;GIVANILDO LOPES;108,324;9383;86,62;9628;98,6;0,652;7,58;68842639,93;54132063,1;33993,16
Medianeira;4115804;medianeirense;ANTONIO FRANÇA BENJAMIM;328,732;54369;165,39;57120;98,7;0,763;9,89;315921963,1;280988764,6;52026,64
Mercedes;4115853;mercedense;LAERTON WEBER;197,136;5931;30,09;6136;99,6;0,74;14,08;71895349,09;64156816,52;49534,82
Mirador;4115903;miradorense;FABIANO MARCOS DA SILVA TRAVAIN;221,708;2238;10,09;2258;97,2;0,68;-;29534930,68;25730289,08;58094,56
Miraselva;4116000;miraselvano;JOAO MARCOS FERRER;90,294;1966;21,77;2008;99,6;0,748;-;1255153,37;24177468,49;29302,32
Missal;4116059;missalense;ADILTO LUIS FERRARI;324,397;11064;34,11;11301;97,5;0,711;-;128008689,8;110615747;43570,31
Moreira Sales;4116109;moreira-salense;LUIZ ANTONIO VOLPATO;353,475;11175;31,59;11137;98,3;0,675;15,15;83648459,44;72733105,42;25586,92
Morretes;4116208;morretense;SEBASTIÃO BRINDAROLLI JUNIOR;684,58;18309;26,74;18908;96,6;0,686;26,6;78183752,02;78563407,18;23612,37
Munhoz de Melo;4116307;munhozense;ÁUREO GOMES;137,018;3951;28,84;4045;98,4;0,726;-;48807300,55;39046596,75;33946,78
Nossa Senhora das Graças;4116406;gracense;CLODOALDO APARECIDO RIGIERI;185,769;3669;19,75;3685;97,1;0,709;-;37306095,8;32428300,07;24826,1
Nova Aliança do Ivaí;4116505;ivaiense;ULISSES DE SOUZA;131,272;1323;10,08;1327;97,5;0,717;-;26755178,68;21485478,66;33292,16
Nova América da Colina;4116604;nova-americanense;TANIA CRISTINA DA SILVA BASSO;129,476;3280;25,33;3299;97,8;0,698;27,03;21514740,37;1;28507,42
Nova Aurora;4116703;nova-aurorense;JOSE APARECIDO DE PAULA E SOUZA;470,642;13765;29,25;14219;95,8;0,733;-;112235474,7;103129960,2;80918,59
Nova Cantu;4116802;nova-cantuense;AIRTON ANTONIO AGNOLIN;555,488;6790;12,22;6799;96,8;0,658;-;51290027,7;47151939,89;72116,33
Nova Esperança;4116901;nova-esperancense;JOAO EDUARDO PASQUINI;401,587;26585;66,2;27142;98,7;0,722;3,44;152879434,6;143122951;33612,53
Nova Esperança do Sudoeste;4116950;novaesperancense;JAIME DA SILVA STANG;208,472;5597;26,85;5744;98,6;0,714;10,75;52346892,85;43017154,42;32869,52
Nova Fátima;4117008;fatimense;RENATA MONTENEGRO BALAN XAVIER;283,423;7225;25,49;7201;99,3;0,688;-;50505885,35;42532645,75;38786,71
Nova Laranjeiras;4117057;nova laranjeirense;FABIO ROBERTO DOS SANTOS;1209,313;12074;9,98;12287;95,5;0,642;5,62;74186178,12;59828736,46;26898,21
Nova Londrina;4117107;nova-londrinense;LUIZ GUSTAVO MAIOR BONO;269,389;12923;47,97;13085;98,6;0,758;6,67;91436146,97;79661729,38;33588,39
Nova Olímpia;4117206;novaolimpiense;LUIZ LAZARO SORVOS;136,347;5833;42,78;5960;98,8;0,71;15,63;52151727,65;48185148,51;18682,89
Nova Santa Bárbara;4117214;bárbaraense;CLAUDEMIR VALÉRIO;76,887;4184;54,42;4280;97,6;0,68;23,26;37185779,69;31017670,07;25733,07
Nova Santa Rosa;4117222;nova-santa-rosense;LARI HITZ;204,665;8322;40,66;8535;99,5;0,731;-;74256863,59;64661677,1;52914,12
Nova Prata do Iguaçu;4117255;pratense;ELIZETE CAVAZIN;352,565;12699;36,02;13196;97,9;0,716;-;84575269,33;81125258,64;46729,6
Nova Tebas;4117271;nova-tebense;PEDRO LOURENÇO;545,686;6848;12,55;6870;97,5;0,651;11,36;62427416,11;53757406,98;36140,29
Novo Itacolomi;4117297;itacolomiense;JOAO PEDRO MAGON;161,411;3125;19,36;3210;97,9;0,71;-;41050543,05;33009596,57;32234,85
Ortigueira;4117305;ortigueirense;ARY DE OLIVEIRA MATTOS;2429,52;24192;9,96;24627;95,1;0,609;8,4;262115586,9;283145687,1;125166,19
Ourizona;4117404;ourizonense;JANILSON MARCOS DONASAN;176,457;3187;18,06;3206;96,9;0,72;-;42406345,88;31771080,74;48701,95
Ouro Verde do Oeste;4117453;ouro-verdense;LUCIAN ALUISIO DIERINGS;293,042;6785;23,15;7031;98,8;0,709;-;55295248,2;44229254,57;52789,8
Paiçandu;4117503;paiçanduense;ISMAEL BATISTA;171,379;45962;268,19;48207;97,2;0,716;11,86;168361580,8;150774179,8;25035,43
Palmas;4117602;palmense;DANIEL RICARDO LANGARO;1559,338;48247;30,97;49891;92,8;0,66;17,65;204082502,6;196412984,5;30790,74
Palmeira;4117701;palmeirense;ALTAMIR SANSON;1471,296;33855;23,03;34806;95,5;0,718;14,05;224628428,2;219715909,9;48142,63
Palmital;4117800;palmitalense;ROBERTO CARLOS ROSSI;817,647;13033;15,94;12967;97;0,639;11,76;88199847,03;78935920,54;25939,77
Palotina;4117909;palotinense;RODRIGO RIBEIRO;651,238;35011;53,76;36623;99,4;0,768;6,02;315104501,5;279310786,7;86939,78
Paraíso do Norte;4118006;paraisense-do-norte;CARLOS ALBERTO VIZZOTTO;204,564;13245;64,75;13634;97,7;0,746;23,26;91288838,16;78409132,17;26547,42
Paranacity;4118105;paranacitense;JOSE CLAUDIO BATISTA;348,631;9557;27,41;9597;99;0,717;-;59046593,86;54940117,03;27859,98
Paranaguá;4118204;parnanguara;ADRIANO RAMOS;822,838;145829;177,23;149819;98;0,75;7,66;1020102408;874275476;86717,02
Paranapoema;4118303;paranapoemense;SIDNEI FRAZATTO;175,875;2398;13,63;2378;98,5;0,709;100;33895815,91;27423669,31;28083,2
Paranavaí;4118402;paranavaiense;MAURÍCIO GEHLEN;1202,266;92001;76,52;95525;98,7;0,763;14,15;496642673,7;432701812,1;35548,61
Pato Bragado;4118451;pato bragadense;JOHN JEFERSON WEBER NODARI;135,6;5733;42,28;5939;100;0,747;20,41;86972419,76;72854448,82;42312,81
Pato Branco;4118501;pato-branquense;GERI NATALINO DUTRA;539,311;91836;170,35;96602;98,7;0,782;9,77;611475228,7;591347591,7;53648,87
Paula Freitas;4118600;paula-freitense;SEBASTIÃO ALGACIR DALPRA;421,409;5666;13,45;5778;98;0,717;-;48274309,18;41654724,01;74045,21
Paulo Frontin;4118709;frontinense;IRENEU INACIO ZACHARIAS;363,351;6343;17,46;6369;99,4;0,708;-;52746470,84;44813199,72;53483,78
Peabiru;4118808;peabiruense;JOSÉ MARCOS GONÇALVES LOPES;468,594;13346;28,48;13496;98;0,723;6,06;81845917,38;74106781,55;32407,58
Perobal;4118857;perobalense;CRISTIANO CEZAR MERLINI DE ALBUQUERQUE;409,05;7189;17,57;7496;98,1;0,713;8,4;59390348,85;49875907,54;45512,01
Pérola;4118907;perolense;VALDETE CARLOS OLIVEIRA GONCALVES DA CUNHA;236,186;11878;50,29;12275;99,4;0,7;7,81;80838640,22;82150425,93;31537
Pérola d'Oeste;4119004;pérolatense;EDSOM LUIZ BAGETTI;205,279;6221;30,31;6235;99,1;0,726;-;57734050,56;48978794,53;38184,61
Piên;4119103;pienense;MAICON GROSSKOPF;254,792;13655;53,59;14179;97,5;0,694;10;113233067,8;88547406,46;70453,65
Pinhais;4119152;pinhaense;ROSA MARIA DE JESUS COLOMBO;60,871;127019;2086,76;131199;97,2;0,751;9,11;785819358,6;704444838,8;59079,55
Pinhalão;4119202;pinhalense ou pinhalãoense;LUIZ EDUARDO DE CASTRO VANZELI;220,625;6566;29,76;6707;99,4;0,697;-;44662931,69;41053695,78;39773,88
Pinhal de São Bento;4119251;pinhalense;PAULO FALCADE DE OLIVEIRA;97,463;2761;28,33;2819;99,6;0,695;-;31844469,77;25282878,49;29268,85
Pinhão;4119301;pinhãoense;VALDECIR BIASEBETTI;2002,652;29886;14,93;30472;96;0,654;20,28;192150108,2;159837580,7;54851,08
Piraí do Sul;4119400;piraiense;HENRIQUE DE OLIVEIRA CARNEIRO;1346,139;23651;17,58;24000;97,5;0,708;6,76;161022085,4;142587331,4;46229
Piraquara;4119509;piraquarense;MARCUS MAURICIO DE SOUZA TESSEROLLI;227,042;118730;522,94;124934;96,5;0,7;13;525301060,5;420755612,3;13213,37
Pitanga;4119608;pitanguense;DIRCEU MORAES;1693,402;33567;20,18;34513;99;0,702;7,48;210703853,8;194747697,5;38430,52
Pitangueiras;4119657;pitangueirense;SAMUEL TEIXEIRA;123,229;3046;24,72;3121;100;0,71;29,41;32425340,99;28524228,53;36948,03
Planaltina do Paraná;4119707;planaltinense;CELSO MAGGIONI;356,192;4070;11,43;4123;100;0,705;-;40764552,63;38321356,99;24276,36
Planalto;4119806;planaltense;LUIZ CARLOS BONI;346,241;14374;41,51;14663;99,8;0,706;-;93922569,2;80410854,19;31778,1
Ponta Grossa;4119905;ponta-grossense;ELIZABETH SILVEIRA SCHMIDT;2053,265;358371;174,41;372562;98,2;0,763;7,78;1512692559;1417408403;54316,58
Pontal do Paraná;4119954;pontalense;RUDISNEY GIMENES FILHO;200,83;30425;151,81;32426;97,4;0,738;19,89;200966028,9;194336533;22903,26
Porecatu;4120002;porecatuense;AGAMEMNON AUGUSTO ARAUJO PADUAN;291,663;11624;39,85;11438;96,9;0,738;-;75934691,01;64986755,69;44031,43
Porto Amazonas;4120101;porto-amazonense;ELIAS JOCID GOMES DA COSTA;186,581;4098;21,96;4099;97,8;0,7;-;42112830,32;42103996,34;33301,6
Porto Barreiro;4120150;porto barreirense;EMANOEL VANDERLEI VOLFF;361,021;3110;8,61;3078;99,5;0,688;55,56;57196447,82;46028676,88;54269,08
Porto Rico;4120200;porto-riquense;VALTER BATISTA DOS SANTOS;217,676;3182;14,62;3316;97,1;0,735;16,39;62764830,36;50411631,65;42532,26
Porto Vitória;4120309;porto-vitoriense;FABIANO JOSÉ GLAAB;213,013;3562;16,72;3549;98;0,685;-;35591237,51;30218815,6;24340,57
Prado Ferreira;4120333;prado ferreirense;SILVIO ANTONIO DAMACENO;152,876;3709;24,26;3799;97,8;0,71;-;32249343,97;25269703,62;44913,54
Pranchita;4120358;pranchitano;RONIMAR ELEANDRO SARTOR;226,14;5737;25,37;5833;99,6;0,752;-;57410353,21;52628984,07;65434,42
Presidente Castelo Branco;4120408;castelo-branquense;JOÃO PERICLES MARTINATI;155,734;4336;27,84;4336;99;0,713;-;39924568,35;32252655,31;27323,94
Primeiro de Maio;4120507;primaiense;BRUNO EDUARDO SANTA ROSA BAUERMAMM ESTEVAM;414,442;10082;24,33;10121;97,2;0,701;9,52;73782113,53;67254354,94;33335,27
Prudentópolis;4120606;prudentopolitano;ADELMO LUIZ KLOSOWSKI;2245,85;49393;21,98;50428;97;0,676;9,38;251741721,1;221332823,4;29782,6
Quarto Centenário;4120655;quarto centenariense;WILSON AKIO ABE;320,779;4201;13,05;4170;98,3;0,71;-;50335607,17;37081118,66;82131,21
Quatiguá;4120705;quatiguaense;IZILDA GLEICIANY RODRIGUES CARRO;112,689;8099;71,87;8357;99;0,714;36,14;48330796,89;43790883,94;28269,42
Quatro Barras;4120804;quatro-barrense;LORENO BERNARDO TOLARDO;180,471;24191;134,04;25109;97,1;0,742;12,4;205154873,3;187345991,2;80039,23
Quatro Pontes;4120853;quatro pontense;CESAR ALEXANDRE SEIDEL;114,393;4480;39,16;4636;99,2;0,791;-;52882644,23;43386260,34;62721,52
Quedas do Iguaçu;4120903;quedas-iguaçuense;RAFAEL CIRYLLO CHIAPETTI ALVES DE MOURA;821,503;30738;37,42;31405;97,1;0,681;15,45;175792476,5;143650317,8;42255,94
Querência do Norte;4121000;querenciano;ALEX SANDRO FERNANDES;914,763;10685;11,68;10693;99,1;0,688;8,7;81557127,88;73641396,19;21471,28
Quinta do Sol;4121109;quinta-solense;LEONARDO LAZZARETTI ROMERO;326,177;5001;15,33;5060;96,1;0,715;14,93;39530958,31;36349120,91;57939,58
Quitandinha;4121208;quitandinhense;JOSÉ RIBEIRO DE MOURA;447,024;18398;41,16;18823;98,4;0,68;9,43;112593923,3;94420857,62;26262,3
Ramilândia;4121257;ramilandiense;EDSON DOS SANTOS;237,196;4221;17,8;4293;97,8;0,63;-;40634717,84;32069371,62;25285,9
Rancho Alegre;4121307;alegrense;FLAVIO HENRIQUE PEREIRA;167,646;3512;20,95;3501;98,3;0,707;-;33522262,92;28563547,87;49378,6
Rancho Alegre D'Oeste;4121356;rancho alegrense;EVERTON CÁSSIO ZANUTO;241,185;2618;10,85;2638;98,6;0,704;-;32005969,1;26542943,5;90246,03
Realeza;4121406;realezense;PAULO CEZAR CASARIL;353,416;19247;54,46;19903;97,4;0,722;8,03;108220948,9;108598893,1;43774,47
Rebouças;4121505;reboucense;LAERCIO ANTONIO CIPRIANO;481,84;14514;30,12;14754;98,3;0,672;9,76;90222142,8;74718653,55;35785,75
Renascença;4121604;renascenseano;FABIELI MANFREDI;425,273;6845;16,1;6946;97,7;0,733;-;62674696,75;48321991,96;62394,97
Reserva;4121703;reservense;LUCAS MACHADO RIBEIRO;1635,535;24573;15,02;24851;96,2;0,618;8,2;146576139,2;126145579,3;28122,36
Reserva do Iguaçu;4121752;reservense do iguaçu;VITORIO ANTUNES DE PAULA;834,232;6553;7,86;6543;98,3;0,648;10,53;69191365,56;58756706,48;31998,12
Ribeirão Claro;4121802;ribeirão-clarense;LISANDRO JOSÉ NÉIA BAGGIO;629,224;12364;19,65;12770;98,2;0,716;7,46;86604290,58;79754871,58;36125,48
Ribeirão do Pinhal;4121901;ribeiro-pinhalense;DARTAGNAN CALIXTO FRAIZ;374,732;13060;34,85;13180;98,5;0,701;6,54;60877014,54;55767815,8;26269,94
Rio Azul;4122008;rio-azulense;LEANDRO JASINSKI;599,056;14025;23,41;14214;96,2;0,687;-;100931034,9;80787548,07;47275
Rio Bom;4122107;rio-bonense;MOISÉS JOSÉ DE ANDRADE;177,836;3197;17,98;3223;100;0,729;32,26;37883968,96;30869453,98;33008,65
Rio Bonito do Iguaçu;4122156;rio bonitense;SEZAR AUGUSTO BOVINO;681,403;13929;20,44;14234;97,6;0,629;10,36;107832250,4;77698546,65;33349,16
Rio Branco do Ivaí;4122172;riobranquense;PEDRO TABORDA DESPLANCHES;378,05;3808;10,12;3850;97,2;0,64;-;44495825,87;34994054,48;28043,39
Rio Branco do Sul;4122206;rio-branquense;KARIME FAYAD;811,425;37558;46,29;39307;93,9;0,679;7,55;162160252,1;151731009;42153,61
Rio Negro;4122305;rio-negrense;ALESSANDRO CRISTIAN VON LINSINGEN;604,138;31324;51,85;31992;98,2;0,76;14,45;185387981,7;163903638,6;37477,75
Rolândia;4122404;rolandense;AILTON APARECIDO MAÍSTRO;459,024;71670;156,14;74935;97,5;0,739;12,89;395729397,9;367555543,5;52447,59
Roncador;4122503;roncadorense;MARILIA PEROTTA BENTO GONÇALVES;742,121;11251;15,16;11371;98,7;0,681;6,71;90186886,89;71823019,91;63312,92
Rondon;4122602;rondonense;ROBERTO APARECIDO CORREDATO;555,125;9097;16,39;9240;97;0,713;-;57135794,89;52282348,74;36225,59
Rosário do Ivaí;4122651;rosariense;ANIZIO CESAR LINO SILVA;377,572;5435;14,4;5491;96,8;0,662;35,71;36374232,14;28212417,54;28266,01
Sabáudia;4122701;sabaudiense;EDSON HUGO MANUEIRA;190,329;8822;46,35;9320;98,6;0,74;42,37;64643008,42;61394401,73;101429,37
Salgado Filho;4122800;salgadense;VOLMAR DUARTE;181,015;4075;22,51;4097;98,3;0,7;-;41170217,85;31764439,24;36692,89
Salto do Itararé;4122909;saltense-do-itararé;CLAUDECI JOSÉ DE OLIVEIRA;200,52;5192;25,89;5267;98,5;0,704;-;36320940,24;30100277,14;21322,09
Salto do Lontra;4123006;salto-lontrense;FERNANDO ALBERTO CADORE;312,717;15223;48,68;15636;96,5;0,718;6,33;90846166,74;85979821,29;35429,43
Santa Amélia;4123105;ameliense;ANTONIO CARLOS TAMAIS;78,045;3394;43,49;3386;96,9;0,653;-;20253118,96;20399006,73;31442,18
Santa Cecília do Pavão;4123204;pavonense;CLAUDIO COVRE;105,076;3365;32,02;3375;97,7;0,723;24,39;30329418,43;27121309,48;47193,99
Santa Cruz de Monte Castelo;4123303;monte-castelense;WILLIAN CEZAR VIEGA;442,013;8613;19,49;8806;98,7;0,71;30,93;51318819,7;47527949,35;48684,56
Santa Fé;4123402;santa-feense;EDSON PALOTTA NETTO;276,241;11378;41,19;11669;97,9;0,705;7,19;78913196,9;64999093,01;25928,17
Santa Helena;4123501;santa-helenense;CLADEMAR JOAO MARASKIN;754,701;25492;33,78;26341;99,4;0,744;3,02;352488008,8;357299724,6;54197,49
Santa Inês;4123600;santa-ineense;ADENILSON PACHECO;156,935;1748;11,14;1760;100;0,717;-;20798124,71;16035425,7;32841,43
Santa Isabel do Ivaí;4123709;santa-isabelense;JOÃO CARLOS DA SILVA MENDES;349,497;8912;25,5;9059;100;0,72;12,5;64538599,78;56464315,03;29837,51
Santa Izabel do Oeste;4123808;santa-izabelense;JEAN PIERR CATTO;321,182;14070;43,81;14385;97,1;0,696;6,13;103560758,8;84118738,34;31293,06
Santa Lúcia;4123824;santaluciense;SILVANO TORTELLI;126,813;3644;28,74;3657;97,1;0,687;23,26;39575472,87;31142160,03;36922,32
Santa Maria do Oeste;4123857;santa-mariense;OSCAR DELGADO;819,288;9934;11,87;9985;95,5;0,609;23,26;68562168,89;57277553,84;29026,17
Santa Mariana;4123907;santa-marianense;JOSE MARCELO PIOVAN GUIMARAES;427,193;11066;25,9;11034;98,2;0,7;8,85;68276837,17;59129893,69;42791,96
Santa Mônica;4123956;moniquense;LUAN GUSTAVO FRAZATTO;259,957;3356;12,91;3373;99,7;0,704;30,3;47077274,63;40768263,33;22463,39
Santana do Itararé;4124004;santanense;ELCIO JOSÉ VIDAL;251,269;5514;21,94;5628;97,5;0,687;-;51297091,63;39685165,48;34909,63
Santa Tereza do Oeste;4124020;santa-terezense;AMARILDO RIGOLIN;326,19;13174;40,39;13749;97,7;0,705;15,38;87426522,79;80133717,02;57894,02
Santa Terezinha de Itaipu;4124053;itaipuense;ANTONIO LUIZ BENDO;268,258;24262;90,44;25055;99,6;0,738;19,23;174968778,7;142245901,9;28728,52
Santo Antônio da Platina;4124103;platinense;GILSON DE JESUS ESTEVES;721,472;44369;61,5;45534;96,2;0,718;5,21;173976164,5;159870874,9;32377,92
Santo Antônio do Caiuá;4124202;santo-antoniense;JOSÉ GABRIEL GONÇALVES FACHIANO;219,068;2493;11,38;2496;98;0,696;43,48;33424466,69;30816725,16;20707,25
Santo Antônio do Paraíso;4124301;santo-antoniense;DEVANIR MARTINELLI;167,014;2125;12,72;2116;97,7;0,716;-;30519621,28;26093294,3;52081,94
Santo Antônio do Sudoeste;4124400;santo-antoniense;RICARDO ANTONIO ORTINA;325,651;23673;72,69;24644;96,6;0,671;14,81;138437672,6;123830918,1;31852,54
Santo Inácio;4124509;santo-inaciense;GENY VIOLATTO;280,133;6181;22,06;6397;99,3;0,739;11,9;55982240,97;47717908,45;98142,7
São Carlos do Ivaí;4124608;são-carlense;PAULO FRANCISCO MARINHO DUTRA;225,079;6587;29,27;6712;98,2;0,682;34,88;50714190,49;41088797,47;56894,74
